Primary_Accession,Uncertainty,Length,Disorder,CompositionalBias,Membrane
O95832,16.11,211,3.32,0,39.81
P56880,19.63,219,7.31,0,38.36
Q8N7P3,20.45,220,4.09,0,37.73
Q96B33,42.81,292,23.63,0,28.77
A6NM45,20.45,220,0,0,38.18
C9JDP6,22.71,229,0,0,36.68
P57739,23.48,230,3.48,0,36.52
O15551,20.45,220,0,0,38.18
O14493,15.79,209,0,0,40.19
O00501,19.27,218,0,0,38.53
P56747,20,220,0,0,38.18
O95471,16.11,211,0,0,39.81
P56748,21.33,225,0,0,37.33
O95484,18.89,217,0.46,0,38.71
Q9NY35,34.39,253,0,0,33.2
Q8NHS1,12.57,167,0,0,50.3
O14967,35.41,610,32.62,0,3.44
Q00610,2.69,1675,1.43,0,0
P53675,0.61,1640,0.06,0,0
Q8NHS4,55.97,586,0.51,0,0
O00299,0,241,6.22,0,8.71
O15247,0,247,8.1,0,8.5
O95833,2.54,236,4.66,0,8.9
Q9Y696,0,253,3.56,0,8.3
Q9NZA1,40.73,410,28.78,0,5.12
Q96NY7,65.48,704,67.05,0,2.98
P30622,74.9,1438,55.49,6.26,0
Q9UDT6,74.47,1046,43.59,3.06,0
Q96DZ5,24.86,547,30.35,1.83,0
Q8N3C7,41.84,705,19.29,7.23,0
P49759,28.1,484,22.52,0,0
P49760,27.45,499,26.45,0,0
P49761,42.95,638,39.03,15.36,0
Q9HAZ1,28.9,481,13.1,0,0
Q5K131,100,121,0,0,0
Q8TDQ1,57.59,290,17.24,0,7.24
Q496F6,43.41,205,4.39,0,10.24
Q6UXZ3,40.72,194,3.09,2.06,10.82
Q08708,48.66,224,27.23,23.66,9.38
A8K4G0,44.28,201,12.44,0,10.45
Q9UGN4,58.53,299,13.71,0,7.02
Q6UXG3,57.23,332,44.58,0,6.33
Q96JQ2,76.05,1002,53.99,0,2.1
Q9H6B4,27.88,373,32.44,8.31,5.63
Q13286,29.68,438,11.42,0,38.36
O75503,100,358,4.19,0,0
Q9NWW5,100,311,1.93,0,47.27
Q9UBY8,100,286,4.2,0,37.41
Q7Z7G1,60.75,428,52.34,7.48,0
O15516,54.96,846,43.38,3.19,0
Q96KA5,100,538,3.53,0,22.3
Q92989,7.53,425,8.47,0,0
Q9H078,14.43,707,15.7,0,0
Q16740,0,277,18.77,0,0
O96005,100,669,19.58,0,15.7
O76031,39.65,633,20.7,0,0
P58418,100,232,0,0,36.21
A0PK11,100,232,0,0,36.21
Q8NCR9,27.88,226,0.44,0,37.17
Q9HAW4,100,1339,78.42,0,0
Q9Y271,12.17,337,2.08,0,43.62
Q9NS75,13.87,346,0,0,42.49
Q5K130,100,101,89.11,0,0
Q96AJ1,100,413,32.69,6.54,0
Q15846,100,466,1.72,0,0
Q96NS8,100,147,27.89,0,0
P10909,100,449,10.69,0,0
O75153,71.43,1309,15.74,0,0
Q8IUQ0,11.02,354,11.86,0,0
Q5SYC1,5.2,327,13.15,0,0
Q8N0X4,14.71,340,0,0,0
Q8IVM7,100,164,43.9,0,0
P23946,7.69,247,0.4,0,0
Q9Y471,100,72,0,0,0
Q96DG6,14.69,245,0.82,0,0
O75746,8.41,678,1.92,0,16.22
Q9UJS0,15.41,675,1.63,0,16.3
P56277,0,68,11.76,8.82,0
P10645,95.4,457,84.25,0,0
Q8IY22,74.9,773,6.6,0,0
Q7Z624,18.58,323,6.81,0,0
Q99788,24.93,373,4.02,0,40.21
Q5EBM0,56.57,449,9.35,0,0
Q9BQ75,37.99,279,34.05,0,0
Q9Y6Y1,67.48,1673,37.12,0.48,0
O94983,64.06,1202,39.52,1,0
Q86VU5,13.36,262,1.91,0,8.02
Q8N1G2,49.1,835,11.5,0,0
Q8IYT2,32.6,770,0.13,0,2.73
Q8N3K9,91.28,4069,71.71,4.99,0
Q86U37,100,167,2.99,0,0
Q4W4Y0,100,310,1.94,0,0
Q86TY3,100,774,75.06,4.26,2.71
Q8NCU1,100,140,16.43,0,0
Q86TU6,100,105,41.9,0,0
Q96F83,100,325,38.15,0,0
Q86SX3,100,495,16.57,0,0
Q9H972,100,538,49.63,1.86,0
Q9NVL8,100,296,58.11,0,0
Q9NWQ9,100,140,3.57,0,0
Q9NPU4,100,173,10.4,0,12.14
Q9H761,100,190,28.42,0,0
Q9BXV9,100,100,95,0,0
Q96I85,100,54,0,0,0
Q7Z3D6,22.4,616,7.31,0,0
A8MTL3,85.67,300,48,0,0
Q86U02,100,117,0,0,17.95
Q9Y224,100,244,6.56,0,0
Q52M58,100,125,51.2,0,0
Q8N769,100,122,87.7,0,0
A1A4T8,100,154,72.73,0,0
Q8WXQ3,100,324,32.1,0,0
P09543,11.64,421,4.99,0,0
Q8NCQ2,100,148,87.84,0,0
Q8NA66,40.37,436,13.3,0.92,0
Q96M20,47.05,576,0.35,0,0
Q9NSA3,0,81,50.62,0,0
P62633,19.21,177,2.82,11.86,0
Q13956,6.02,83,62.65,26.51,0
Q15021,100,1401,17.06,0,0
Q15003,100,741,37.38,0,0
Q9BPX3,100,1015,11.53,0.99,0
P42695,63.28,1498,15.69,0,0
Q86XI2,84.25,1143,2.89,0,0
Q6IBW4,100,605,42.98,0,0
Q96KN2,5.13,507,0.59,0,0
Q96KP4,0.21,475,1.47,0,0
O95476,22.95,244,0,0,9.43
Q9BYD5,100,112,0,27.68,0
Q8IZM0,100,81,6.17,0,0
P29973,27.83,690,24.35,0,17.97
Q16280,26.81,664,16.57,0,18.98
Q16281,29.68,694,25.5,0,9.08
Q8IV77,13.91,575,9.22,0,21.22
Q14028,59.39,1251,59.87,11.51,9.75
Q9NQW8,41.9,809,38.57,0,15.57
O95406,100,144,0,0,43.75
Q6PI25,100,160,0,0,39.38
Q8TBE1,100,160,0,0,39.38
Q9P003,100,139,0,0,45.32
Q969H4,62.5,720,45.14,13.06,0
Q8WXI2,67.31,1034,36.94,2.13,0
Q6P9H4,46.67,555,34.77,0,0
P51911,42.09,297,39.39,0,0
Q99439,42.72,309,22.98,0,0
Q15417,47.11,329,31,12.16,0
Q9NRU3,74.55,951,24.5,0,8.83
Q9H8M5,72.34,875,16.8,0,9.6
Q8NE01,67.75,707,11.32,0,11.32
Q6P4Q7,68.65,775,7.1,0,11.1
Q9H9A5,16.8,744,19.09,0,0
Q9UKZ1,100,510,28.63,17.06,0
Q96LI5,4.68,555,2.16,0,0
A5YKK6,23.95,2376,9.93,0.76,0
Q9NZN8,63.52,540,59.81,0,0
O75175,80.48,753,58.3,41.17,0
O95628,63.83,575,49.91,0,0
Q9ULM6,12.39,557,5.03,0,0
Q9UIV1,0,285,4.56,0,0
Q9UFF9,13.36,292,0,0,0
Q9BV87,64.15,410,2.2,17.56,5.12
Q3B7I2,100,92,2.17,0,0
Q9Y2B0,100,182,0.55,0,0
Q9BT09,100,278,23.74,0,0
Q8N129,100,248,21.77,36.29,0
P21554,36.65,472,0.42,0,34.75
P34972,12.22,360,3.89,0,45.56
P18545,0,87,63.22,25.29,0
Q96F85,100,164,10.98,0,0
Q6PJW8,100,725,53.79,0,2.9
Q96NU0,12.03,1288,7.45,0,1.63
Q8N815,30.91,330,2.12,0,0
Q9H8S5,31.92,307,9.45,0,0
P26992,18.28,372,15.86,0,0
P26441,6.5,200,3.5,0,0
Q9NXG0,100,1405,38.93,0.57,0
Q12860,6.09,1018,9.53,0.79,0
Q02246,6.63,1040,17.98,0.67,0
Q9P232,5.16,1028,12.94,0,0
Q8IWV2,5.36,1026,11.5,0,0
O94779,11.45,1100,11,0,0
Q9UQ52,5.25,1028,7.2,0,0
P78357,16.33,1384,5.92,0,1.52
Q9UHC6,14.65,1331,4.96,0,1.58
Q9BZ76,14.6,1288,7.38,0.54,1.63
Q9C0A0,15.6,1308,4.59,0,1.61
Q8WYK1,13.86,1306,4.13,0.31,1.61
Q8N137,100,903,75.08,22.7,0
Q7Z7A1,90.8,2325,31.7,3.44,0
Q9H2U6,100,94,15.96,0,0
Q6P656,39.2,301,11.3,0,0
Q2M3C6,68.93,531,37.1,0,11.86
Q32M92,100,178,23.03,0,0
Q8NBB2,100,130,97.69,0,0
Q6ZRI6,100,1047,63.8,0,0
Q8WUR7,39.22,153,46.41,0,0
Q9Y2V0,100,281,4.98,0,0
Q8NHR7,100,220,7.27,0,0
Q6ZUT6,100,534,87.64,0,0
Q8NAA6,100,179,17.32,0,0
Q8N8G6,100,183,2.19,0,0
Q8N910,100,161,64.6,0,0
Q9BV29,100,185,24.86,0,0
Q2T9L4,100,293,74.06,2.73,0
A6NNL5,100,157,0,0,0
A8K5M9,100,175,44.57,0,0
H3BRN8,100,121,46.28,0,0
P02452,91.33,1464,81.08,0,0
P08123,100,1366,83.75,0,0
P02458,93.61,1487,80.09,0,0
P06681,1.46,752,6.25,0,0
P02461,74.69,1466,78.24,0,0
P01024,1.44,1663,8.6,0,0
P02462,86.28,1669,85.14,0,0
P08572,86.68,1712,82.59,0,0
Q01955,100,1670,84.73,0,0
P53420,100,1690,82.43,0,0
P29400,100,1685,85.52,0,0
Q14031,100,1691,83.26,0,0
P0C0L4,1.61,1744,7.86,0,0
P0C0L5,4.13,1744,7.63,0,0
P20908,91.19,1838,75.9,0,0
P05997,94.46,1499,81.79,0,0
P25940,89.97,1745,77.02,0,0
P01031,0,1676,1.73,0,0
P12109,42.8,1028,36.09,0,0
P12110,42.3,1019,38.67,0,0
P12111,61.38,3177,17.53,3.53,0
A8TX70,68.03,2615,15.91,0,0
A6NMZ7,55.59,2263,17.85,0,0
P13671,2.03,934,3.96,0,0
Q02388,67.83,2944,67.97,0,0
P10643,2.97,843,2.61,0,0
P27658,82.39,744,75.94,0,0
P25067,81.37,703,74.54,0,0
P07357,5.14,584,0.86,0,0
P07358,9.14,591,0.51,0,0
P07360,9.41,202,8.91,0,0
P20849,73.4,921,73.72,0,0
Q14055,96.66,689,96.66,0,0
Q14050,97.08,684,97.08,0,0
P02748,13.6,559,1.43,0,6.62
Q9GZY4,33.56,146,2.05,0,15.75
Q9Y2R0,100,106,35.85,0,19.81
Q9NYJ1,100,87,67.82,0,0
Q86WW8,100,74,0,0,0
Q5JTJ3,39.2,125,5.6,0,0
Q96BR5,8.23,231,8.66,0,0
Q03692,76.47,680,73.97,0,0
Q96CD2,0,204,0.49,0,0
Q5SY13,100,56,73.21,0,0
Q13057,34.57,564,3.01,0,0
P12107,100,1806,76.14,0,0
P13942,100,1736,80.47,0.23,0
Q53SF7,92.69,1204,78.74,0,0
O75128,86.68,1261,78.98,5.08,0
Q99715,40.91,3063,30.88,0,0
O43405,13.45,550,4.91,0,0
Q5TAT6,100,717,91.21,0,2.37
Q9UH73,35.87,591,20.64,15.06,0
Q9HAK2,36.52,575,24.52,14.26,0
Q9H4W6,34.9,596,26.85,15.44,0
Q9BQW3,39.2,602,19.77,0,0
Q05707,25.61,1796,27.67,0,0
P23528,0,166,0.6,0,0
Q9Y281,0,166,0,0,0
P39059,70.1,1388,67.65,0,0
Q8WTW3,100,980,11.02,0,0
Q14746,64.77,738,9.08,0,0
Q96JB2,100,828,6.64,0,0
Q9H9E3,53.89,785,3.06,0,0
Q9UP83,70.56,839,7.99,0,0
Q9Y2V7,31.51,657,4.41,0,0
P83436,100,770,2.21,0,0
Q96MW5,66.67,612,8.82,0,0
Q07092,100,1604,81.73,0,0
Q9UMD9,100,1497,71.61,0,1.4
P39060,68.93,1754,66.31,0,0
P38432,100,576,56.08,7.29,0
Q14993,100,1142,71.72,0,0
Q9P218,33.1,1284,36.53,0,0
Q9Y6Z7,46.57,277,25.63,0,0
Q9BWP8,45.76,271,39.85,0,0
Q5KU26,57.95,742,38.81,0,2.83
Q96P44,61.76,957,54.23,0,0
Q6ZS62,100,124,2.42,0,16.94
A8K830,100,154,8.44,0,0
P01189,100,267,61.8,0,0
A2RUU4,32.23,121,0,0,0
Q6UWE3,36,100,0,0,0
Q9Y215,96.7,455,60.88,0,0
P04118,16.96,112,0,0,0
Q99708,94.98,897,51.73,0.45,0
Q8NFW1,100,1626,71.77,71.46,0
Q8N668,43.16,190,0.53,0,0
Q86X83,100,199,0.5,0,0
Q9UBI1,100,195,0,0,0
Q9H0A8,100,199,0.5,0,0
Q9GZQ3,100,224,4.02,0,0
Q7Z4G1,100,85,10.59,0,0
Q86VX2,100,200,7.5,0,0
Q9NX08,100,183,0.55,0,0
Q9P000,100,198,0,0,0
Q9Y6G5,52.97,202,0,0,0
P49747,4.49,757,28.93,0,0
P21964,20.3,271,0,0,7.38
Q86Y22,100,540,92.59,99.07,4.07
Q17RW2,100,1714,66.69,0.35,0
Q9BXS0,100,654,91.28,0,3.21
P53621,9.07,1224,9.15,0,0
P35606,12.47,906,8.39,0,0
P53618,21.2,953,4.2,0,0
P48444,24.07,511,25.83,0,0
O14579,1.3,308,6.17,0,0
Q9Y678,8.47,874,6.18,0,0
Q9UBF2,8.73,871,2.76,0,0
Q9NQ92,100,184,84.78,0,0
O15431,62.11,190,12.11,0,33.16
O15432,79.72,143,0,0,44.06
P61923,7.91,177,0,0,0
Q9P299,23.33,210,16.67,0,0
Q96H96,28.57,371,4.85,0,50.94
Q9NZJ6,36.04,369,1.36,0,0
Q9Y3A0,27.55,265,13.58,0,0
Q5HYK3,30.58,327,0.61,0,0
Q9Y2Z9,17.95,468,1.28,0,0
Q99807,100,217,0,2.76,0
O75208,46.54,318,21.7,0,0
Q96A83,95.69,441,63.95,0,0
P31146,14.32,461,19.31,0,0
Q9BR76,19.43,489,16.77,0,0
Q9ULV4,17.09,474,2.11,0,0
Q92828,25.14,525,5.33,0,0
Q9UQ03,18.33,480,2.92,0,0
Q8IZC6,90.32,1860,73.98,71.99,0
Q9Y5Q5,14.78,1042,1.92,0,2.02
Q6QEF8,16.53,472,15.25,0.85,0
P57737,10.16,925,24,0,0
O00230,100,105,37.14,0,0
Q2UY09,61.6,1125,55.64,0,0
P10589,25.06,423,23.88,1.18,0
P24468,20.77,414,21.74,1.21,0
Q14019,0,142,2.11,0,0
Q12887,40.41,443,8.8,0,33.18
Q9Y6N1,52.54,276,10.87,0,6.88
Q96I36,100,57,1.75,0,40.35
Q7KZN9,100,410,0,0,40.24
Q9P0S2,100,106,18.87,0,21.7
Q14061,0,63,20.63,41.27,0
Q8N8Q8,34.53,333,0,0,18.92
Q49B96,100,90,17.78,0,0
P00395,0.19,513,0,0,53.8
Q5RI15,100,118,16.1,0,29.66
P00403,2.64,227,0,0,18.5
P00414,0,261,0.77,0,55.17
P13073,14.79,169,0,0,0
Q96KJ9,18.13,171,10.53,0,0
P20674,27.33,150,2.67,0,0
P10606,24.03,129,31.78,0,0
P09669,5.33,75,0,0,54.67
P24311,38.75,80,21.25,0,33.75
P15954,26.98,63,0,0,42.86
O14548,50.88,114,0,0,0
O60397,47.17,106,1.89,0,0
P10176,37.68,69,0,0,34.78
Q7Z4L0,40.28,72,9.72,0,33.33
Q7Z7K0,100,106,9.43,0,0
Q9NRP2,100,79,30.38,0,0
O95177,100,125,49.6,0,0
Q96S19,3.43,204,0,0,0
Q96MC5,100,204,20.1,0,0
Q6P387,100,395,31.65,0,0
Q6ZP98,100,133,27.82,0,0
Q8NHV5,8.38,167,0,0,0
Q6UWD8,100,224,65.18,0,9.38
Q96GQ5,100,468,4.27,0,4.49
Q7L2K0,100,433,50.12,0,0
Q7Z3J2,71.96,963,5.82,1.97,1.77
Q9BSU1,100,422,4.27,0,0
Q8IYS4,100,520,92.31,0,0
Q14CZ0,100,275,50.18,0,0
Q96GX8,100,76,65.79,0,0
Q8WTQ4,100,265,55.09,0,0
Q9Y6A4,100,193,0,0,0
Q8N9R0,100,145,73.1,52.41,0
Q6ZW13,100,317,79.5,0,0
Q6PH81,100,154,62.99,0,0
Q6UX73,100,402,1.49,0,0
A8MZG2,100,172,54.65,0,0
Q96LL3,100,132,0,0,15.91
A1A4V9,100,331,29.31,0,0
Q9H693,100,158,17.72,0,0
A6NNT2,100,1141,31.81,15.95,0
H3BN30,100,126,0,0,0
I3L0S3,100,204,51.47,0,0
O43303,100,1012,42.29,0,0
P05108,7.68,521,3.84,0,0
Q9UPN4,100,1083,65.28,0,0
Q66GS9,100,1140,25.96,0,0
P05093,4.53,508,3.54,0,0
P11511,0,503,0.2,0,0
P04798,1.37,512,0.2,0,0
P05177,5.05,515,0.78,0,0
Q16678,8.66,543,1.29,0,0
Q6UW02,8.23,462,2.81,0,4.55
P08686,5.26,494,6.28,0,0
Q07973,9.73,514,4.86,0,0
Q9BV73,100,2442,43.86,70.15,0
O43174,12.47,497,0.6,0,0
Q9NR63,14.65,512,0.2,0,0
Q6V0L0,16.48,522,5.17,0,4.02
Q02318,6.21,531,3.58,0,0
O15528,9.45,508,7.48,0,0
P11509,5.67,494,2.02,0,0
P20853,6.28,494,2.02,0,0
Q16696,5.06,494,1.82,0,0
P20813,5.3,491,3.05,0,0
P10632,3.67,490,1.22,0,0
P11712,3.47,490,2.45,0,0
P33260,5.51,490,0,0,0
P33261,4.49,490,2.65,0,0
P10635,6.44,497,4.83,0,0
P05181,6.09,493,0.61,0,0
P24903,5.5,491,0,0,0
P51589,8.57,502,6.37,0,0
Q6VVX0,6.19,501,0,0,0
Q96SQ9,7.94,504,3.77,0,0
Q7Z449,14.71,544,2.94,0,19.3
Q8TAV3,6.94,490,4.9,0,0
Q9HB55,8.75,503,0.2,0,0
Q9NYL5,10.23,469,0,0,0
P08684,0,503,0.8,0,4.17
P20815,8.57,502,1.2,0,0
P24462,9.15,503,0.8,0,0
Q9Y6A2,6.8,500,2,1.4,4.2
Q02928,13.49,519,1.35,2.31,0
Q5TCH4,13.1,519,1.54,2.31,0
P13584,10.57,511,0.2,0,0
P78329,13.85,520,0.96,0,0
Q08477,13.65,520,0.58,0,4.04
P98187,16.92,520,1.73,0,4.42
Q9HBI6,14.69,524,0.57,0,4.39
Q9HCS2,17.56,524,0.76,0,8.02
Q6NT55,15.44,531,0.94,0,0
Q6ZWL3,11.62,525,3.43,0,4
Q8N118,15.32,509,1.18,0,4.13
Q86W10,11.49,505,0.79,0,4.16
Q8N1L4,14.71,340,1.18,0,6.18
Q16850,10.74,503,0.4,0,4.17
P22680,4.96,504,2.58,0,0
O75881,8.5,506,0,0,0
Q9UNU6,8.18,501,0,0,4.19
Q9BZB8,55.83,566,23.5,7.07,0
Q7Z5Q1,39.22,589,35.48,15.62,0
Q8NE35,43.98,698,47.85,32.38,0
Q17RY0,55.56,729,45.54,3.43,0
A4D0V7,76.51,1026,2.92,0,0
Q6FI81,44.87,312,19.23,0,0
O14810,55.22,134,91.79,0,0
Q6PUV4,62.69,134,98.51,0,0
Q8WVH0,68.35,158,81.01,0,0
Q7Z7G2,68.75,160,71.25,0,0
Q8IZJ3,17.56,1885,11.88,0.85,0
P22792,6.24,545,0,0,0
Q99829,51.02,537,7.08,0,0
Q96FN4,50.91,548,2.01,0,0
O75131,49.53,537,2.23,0,0
Q96A23,52.06,557,1.08,0,0
Q9HCH3,53.96,593,8.43,0,0
O95741,51.35,557,9.52,0,0
Q9UBL6,46.29,633,5.37,0,0
Q86YQ8,51.6,564,3.37,0,0
Q8IYJ1,52.26,553,6.33,2.35,0
P04632,23.51,268,13.81,26.87,0
Q96L46,20.97,248,13.31,15.32,0
Q9BRF8,15.92,314,0.64,0,0
A6NMK7,20.67,179,0,0,0
Q10570,24.74,1443,14.41,0,0
Q9P2I0,44.25,782,16.37,0,0
Q9UKF6,21.2,684,3.95,0,0
O95639,47.58,269,25.65,0,0
O43809,0,227,5.29,0,0
Q16630,56.81,551,78.04,45.92,0
Q8N684,70.06,471,68.79,35.67,0
P31327,4.2,1500,0.93,0,0
P50416,21.35,773,3.62,0,5.95
Q92523,19.17,772,3.5,0,5.96
Q8TCG5,22.54,803,4.98,0,5.73
P23786,5.32,658,5.02,0,4.56
Q5TA50,0,214,0,0,0
Q9H3G5,17.44,476,0,0,0
Q8N123,100,301,37.54,0,0
Q96SM3,20.16,734,18.66,1.23,0
Q8N436,22.35,756,20.77,8.2,0
Q6JBY9,100,416,100,0,0
Q8NEP4,100,570,75.44,0,0
Q8WW18,100,174,52.3,0,0
A8MQB3,100,221,39.82,0,0
Q8N3J3,100,647,51.31,0,0
Q8N7U9,100,141,30.5,0,0
Q8N8I6,100,264,97.73,0,0
Q2M2W7,100,97,0,0,0
Q96GS4,100,357,70.87,7.84,0
Q9BQA9,100,187,8.56,0,12.3
Q86WR6,100,236,30.93,0,0
Q0P5P2,100,114,30.7,0,0
Q53H64,100,154,2.6,0,0
Q0P670,100,501,53.89,3.99,4.19
Q96MU5,100,243,7.82,9.05,0
Q8N4C9,100,275,20,0,7.64
Q9BSJ5,100,609,54.19,0,3.45
Q86X59,100,251,87.25,0,0
Q53F19,100,620,66.45,5.97,0
A1L188,100,74,0,0,0
Q0VDD5,100,57,3.51,0,0
A6NHQ4,100,379,78.63,95.51,0
Q6ZQX7,100,453,87.2,4.42,0
A8MV24,100,154,2.6,0,0
Q6UX52,15.47,265,15.85,2.26,0
A8MU93,100,164,99.39,0,0
A2RUQ5,100,167,23.35,0,0
A2RUB1,100,952,34.14,0,0
B2RV13,100,164,15.85,0,0
Q6ZR85,100,190,25.79,0,0
Q96MF6,37.65,247,5.26,0,0
Q9H8M1,34.87,238,0.42,0,0
F2Z3M2,100,114,18.42,0,0
Q9BZP3,100,86,18.6,0,0
Q96KH6,100,178,7.3,0,0
Q96N68,100,181,12.71,32.04,11.6
Q96FQ7,100,95,21.05,0,0
Q7Z4B0,100,112,35.71,0,0
Q32NC0,100,220,39.55,0,0
Q96B23,100,403,86.6,0,0
Q8TCD1,100,76,2.63,0,0
P0CW23,52.17,69,82.61,0,0
Q68DL7,100,685,35.04,0,0
J3KSC0,100,135,11.11,0,0
Q2VPA4,10.72,569,4.04,0,0
P17927,5.25,2039,3.68,0,1.23
P20023,1.36,1033,2.13,0,2.71
Q96BA8,86.51,519,52.79,1.73,4.05
Q70SY1,82.31,520,49.42,0,4.04
Q68CJ9,84.38,461,49.67,0,4.56
Q8TEY5,82.28,395,36.71,0,5.32
Q9NQ79,45.23,661,10.29,2.72,0
P78560,0,199,6.03,0,0
A6NIL9,100,109,0,0,19.27
P05813,13.49,215,13.02,0,0
P53672,2.03,197,4.57,0,0
P53673,3.57,196,0,0,0
P53674,16.67,252,19.05,0,0
P43320,0.49,205,24.39,0,0
P26998,10.43,211,9,0,0
Q68DQ2,44.62,1022,13.5,0,0
O60519,100,120,55.83,0,0
Q96SW2,53.17,442,12.9,0,0
P22914,0.56,178,0,0,0
Q96D31,43.85,301,28.24,14.95,26.91
P23508,100,829,44.27,0,0
Q9UGL9,100,99,13.13,61.62,0
Q9BU40,72.89,450,9.11,0,0
Q6WN34,84.85,429,12.12,0,0
P16220,72.43,341,61.29,0,0
O43889,82.28,395,7.34,11.65,4.3
Q02930,86.61,508,85.04,0,0
O75629,20.91,220,8.18,0,0
Q8IUH2,40.69,290,24.83,0,0
Q96HD1,44.76,420,5.24,10.24,10
Q6UXH1,38.24,353,6.8,0,0
Q03060,73.96,361,65.37,0,0
Q8IUR6,100,639,46.17,6.1,0
O75177,100,396,87.37,52.27,0
Q494W8,25,412,1.94,0,24.03
P34998,11.26,444,0,0,43.69
Q13324,10.46,411,0,0,47.2
P06850,79.08,196,53.57,0,0
P11844,0,174,0,0,0
P07316,0,175,0,0,0
P07315,0,174,0,0,0
P07320,0,174,0,0,0
Q8WXF5,14.84,182,13.74,0,0
P24387,28.88,322,0,0,0
Q9NZV1,84.07,1036,0.87,0,2.03
P50238,0,77,1.3,11.69,0
P52943,10.1,208,23.08,12.5,0
Q6Q6R5,7.83,217,10.6,0,0
Q9P021,100,101,16.83,0,0
P54107,15.26,249,0.8,0,0
P16562,13.99,243,7,0,0
P54108,14.69,245,5.31,0,0
Q96LR1,100,157,59.24,0,0
P46109,0,303,33.66,0,0
P46108,0,304,41.45,0,0
Q9H336,22.8,500,6.8,0,0
Q9H0B8,17.3,497,5.84,0,0
O75462,17.77,422,18.25,0,0
Q9HC73,48.79,371,11.32,0,5.66
Q8IUI8,100,442,2.04,0,0
Q9UJA2,66.45,301,3.32,0,35.55
Q96RY5,100,1269,61.54,14.03,0
Q9BZJ0,22.76,848,16.51,0.47,0
Q9UBG3,79.6,495,81.21,50.71,0
A5YM72,49.58,827,0.97,0,0
Q13536,100,156,14.1,0,0
Q5TZA2,100,2017,49.68,3.92,0
Q86T23,100,111,16.22,0,0
Q8IVE0,100,287,64.11,16.38,0
H7BZ55,100,2252,46.85,19.01,0
Q8N1N5,100,446,0,0,0
P02741,8.04,224,0,0,0
Q9H3Y0,11.46,253,1.19,0,0
O95727,31.04,393,24.94,0,5.34
O75718,100,401,0,0,0
Q6UUV9,95.58,634,81.39,10.73,0
Q53ET0,95.24,693,84.85,11.26,0
Q6UUV7,95.48,619,83.84,1.94,0
P82279,17.92,1406,1,0,1.49
Q5IJ48,24.59,1285,1.95,0,1.63
Q9BUF7,100,120,35,0,17.5
O43186,77.93,299,48.83,0,0
Q16526,15.7,586,9.04,0,0
Q49AN0,11.8,593,11.97,0,0
P02489,1.16,173,13.29,0,0
P02511,0,175,20.57,0,0
Q9Y2S2,2.19,319,1.57,0,0
Q14894,0.64,314,1.27,0,0
Q969H8,100,173,3.47,0,0
Q9NSK7,100,152,1.97,0,13.82
Q8NEA5,100,215,32.09,0,9.77
Q9BVV8,100,132,46.97,0,15.91
Q9UFG5,100,118,70.34,0,0
Q6ZS72,38.48,473,24.31,0,0
Q9BQ61,100,176,85.23,3.41,0
Q9H6X5,100,657,67.58,0,0
Q8NA69,100,505,57.62,0,0
Q8N9M1,84.36,422,57.58,1.9,0
Q6RUI8,100,117,3.42,0,0
Q9BSF4,100,260,0,0,0
Q5BKX5,100,351,28.77,18.8,0
Q2NL68,100,480,86.46,8.33,0
Q0VDD7,100,668,90.72,0,0
Q96EN9,100,201,16.92,0,0
Q9NUL5,100,291,33.68,10.31,0
A6NJJ6,100,358,27.37,0,0
Q86XI8,100,627,20.26,0,0
A6NCJ1,100,209,10.53,0,0
Q9NVV2,100,129,58.14,0,0
C9J6K1,100,198,12.63,0,0
K7EIQ3,100,104,5.77,0,0
K7EIZ4,100,104,58.65,0,0
I3L1E1,100,186,83.87,0,0
Q9Y600,0,493,0.41,0,0
Q6PB30,100,78,71.79,0,0
Q9Y5P2,100,127,46.46,0,0
Q8TBR5,100,109,34.86,0,0
Q5T4H9,100,136,72.06,0,0
Q9P1W3,100,806,7.57,0,26.05
Q6XLA1,100,102,23.53,0,0
O94886,100,807,2.23,0,26.02
Q5T3F8,100,832,7.57,0,25.24
Q9Y534,34.64,153,50.33,0,0
O75534,23.93,798,10.4,0,0
Q9Y2W7,12.11,256,11.33,0,0
P07333,10.8,972,6.48,0,2.16
P09603,73.1,554,58.84,0,3.79
P15509,28.5,400,0,0,6.5
P04141,11.81,144,8.33,0,0
Q99062,28.59,836,10.89,0,2.75
P09919,14.49,207,0.97,0,0
P0DML2,11.98,217,2.76,0,0
P0DML3,25.81,217,2.76,0,0
Q14406,12.16,222,1.35,0,0
P68400,0,391,13.3,0,0
P19784,0,350,0.57,0,0
Q8NEV1,15.86,391,14.83,0,0
P67870,0,215,5.58,4.65,0
Q8WXD9,68.83,1431,68.9,45.56,0
Q8WXE0,58.74,1202,59.07,37.35,0
O14936,3.35,926,17.71,0,0
P41240,0,450,0.44,0,0
Q96PZ7,24.1,3565,2.22,0,0.59
Q7Z408,19.19,3487,2.98,0,0.6
Q7Z407,28.89,3707,5.23,0,1.13
Q4G0I0,100,132,44.7,0,12.88
Q13098,16.5,491,13.85,0,0
P61201,7,443,5.87,0,0
Q9UNS2,16.78,423,9.93,0,0
Q9BT78,8.37,406,0.49,0,0
Q92905,5.09,334,3.59,0,0
Q7L5N1,23.55,327,0,0,0
Q9UBW8,32,275,21.09,0,0
